,0
officer_risk_te,2.900965895860267
grid_rate,1.5779196169815968
cluster_rate,1.2152688682894193
cause_hour_te,0.5925282432860095
officer_x_cause_te,0.5702587988080545
dist_ps_km,0.26569357080521916
dist_cbd_km,0.24868081146189888
dow,0.22383077413745622
hour_cos,0.16145275569219722
event_cause_te,0.16014171490764936
cause_te_x_corr_te,0.13476909154037983
hour_te,0.11928605844825611
police_station_te,0.11208329779725068
month_cos,0.11057811979403734
month_sin,0.10838317156183613
hour,0.09892855015527165
spatial_cluster,0.09705605188764281
month_num,0.08487203072496562
hour_sin,0.07975990190462066
density_6h,0.07852040976216346
veh_risk,0.06362957701878409
clos_density_6h,0.05801284007346331
gba_identifier_te,0.04748630344248727
zone_te,0.046125814063168714
corridor_te,0.02631100036315714
priority_hi,0.013106225067173412
cause_x_night,0.011127289942518832
is_festival,0.00922451314667735
planned_x_hc,0.00893188922979997
cause_ord,0.00754947345417621
is_peak,0.007134856137154518
is_planned,0.006295059852412215
cbd_ring,0.0022426694448464822
is_night,0.0017184383268738716
is_weekend,0.00018851392379994937
is_hc_cause,0.00014253255036413283
